Username: player1
Created @ 2020-07-09T16:39:34.710382
Password:  1234


__SIGN IN__ | @ 2020-07-09T16:39:34.876771 | Message: No Message
__BUTTON CLICK__ | @ 2020-07-09T16:40:13.692943 | Message: button -> Sign Out
__ROOM CHANGE__ | @ 2020-07-09T16:40:13.748833 | Message: Login
__SIGN OUT__ | @ 2020-07-09T16:40:13.749457 | Message: No Message
__SIGN IN__ | @ 2020-07-09T16:41:45.553117 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T16:41:45.896829 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T16:41:46.856724 | Message: button -> Local Play
__SIGN IN__ | @ 2020-07-09T16:42:34.759590 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T16:42:35.184077 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T16:42:36.113821 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:42:36.114010 | Message: Play Access Granted
__ROOM CHANGE__ | @ 2020-07-09T16:42:36.209708 | Message: Play
__GAME REPORT__ | @ 2020-07-09T16:42:36.267358 | Message: Game Begins
__GAME REPORT__ | @ 2020-07-09T16:42:37.662362 | Message: Activated Passive -> Zombie
__GAME REPORT__ | @ 2020-07-09T16:42:37.667488 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-07-09T16:42:40.724127 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-07-09T16:42:40.724571 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T16:42:40.725031 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T16:42:40.725391 | Message: Draw Card -> Light's Justice
__GAME REPORT__ | @ 2020-07-09T16:42:40.725720 | Message: Draw Card -> Blast Wave
__GAME REPORT__ | @ 2020-07-09T16:42:40.726084 | Message: Draw Card -> AmaniWarBear
__GAME REPORT__ | @ 2020-07-09T16:42:40.726621 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:44.233942 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T16:42:44.234314 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:44.243196 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T16:42:46.394872 | Message: Clicked On Point: java.awt.Point[x=441,y=93], P2Hand
__REPORT__ | @ 2020-07-09T16:42:46.395392 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:42:47.477280 | Message: Selected -> models.cards.Weapon@72b2e2eb
__CARD PLAYED__ | @ 2020-07-09T16:42:47.480446 | Message: Light's Justice
__GAME REPORT__ | @ 2020-07-09T16:42:50.153828 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T16:42:50.154291 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:50.163789 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:50.793767 | Message: Draw Card -> Polymorph
__GAME REPORT__ | @ 2020-07-09T16:42:50.794171 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:50.802805 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:50.985769 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T16:42:50.986114 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:50.995003 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:53.541466 | Message: Draw Card -> Polymorph
__GAME REPORT__ | @ 2020-07-09T16:42:53.541654 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:53.542461 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:53.701707 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-07-09T16:42:53.702084 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:53.710860 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:54.117598 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T16:42:54.117920 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:54.119337 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:42:54.293666 | Message: Draw Card -> Scavenger's Ingenuity
__GAME REPORT__ | @ 2020-07-09T16:42:54.294099 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:42:54.295834 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T16:42:55.506290 | Message: Clicked On Point: java.awt.Point[x=554,y=60], P1Hand
__REPORT__ | @ 2020-07-09T16:42:55.506575 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:42:57.041163 | Message: Selected -> models.cards.Spell@5ceabe8
__GAME REPORT__ | @ 2020-07-09T16:42:57.041662 | Message: Draw Card -> Hir'eek the Bat
__CARD PLAYED__ | @ 2020-07-09T16:42:57.041959 | Message: Scavenger's Ingenuity
__BUTTON CLICK__ | @ 2020-07-09T16:43:01.793685 | Message: Exit Button
__SIGN IN__ | @ 2020-07-09T16:48:21.936783 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T16:48:22.431015 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T16:48:23.940845 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:48:23.940990 | Message: Play Access Granted
__ROOM CHANGE__ | @ 2020-07-09T16:48:24.029722 | Message: Play
__GAME REPORT__ | @ 2020-07-09T16:48:24.087385 | Message: Game Begins
__GAME REPORT__ | @ 2020-07-09T16:48:25.198024 | Message: Activated Passive -> Nurse
__GAME REPORT__ | @ 2020-07-09T16:48:25.199499 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-07-09T16:48:27.295093 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-07-09T16:48:27.295597 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T16:48:27.295981 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T16:48:27.296309 | Message: Draw Card -> Blast Wave
__GAME REPORT__ | @ 2020-07-09T16:48:27.296590 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T16:48:27.296965 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-07-09T16:48:27.298046 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:28.290750 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T16:48:28.291178 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:28.296987 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:29.703004 | Message: Draw Card -> Swamp King Dred
__GAME REPORT__ | @ 2020-07-09T16:48:29.703562 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:29.712809 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:29.910409 | Message: Draw Card -> Fireball
__GAME REPORT__ | @ 2020-07-09T16:48:29.910581 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:29.913359 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:30.262891 | Message: Draw Card -> Scavenger's Ingenuity
__GAME REPORT__ | @ 2020-07-09T16:48:30.263323 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:30.272410 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:30.615014 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T16:48:30.615451 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:30.617418 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:30.950950 | Message: Draw Card -> AmaniWarBear
__GAME REPORT__ | @ 2020-07-09T16:48:30.951334 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:30.960141 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T16:48:31.631122 | Message: Clicked On Point: java.awt.Point[x=597,y=15], P1Hand
__REPORT__ | @ 2020-07-09T16:48:31.631822 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:48:33.487375 | Message: Selected -> models.cards.Minion@465ffeda
__REPORT__ | @ 2020-07-09T16:48:34.027389 | Message: Clicked On Point: java.awt.Point[x=581,y=35], P1Board
__CARD PLAYED__ | @ 2020-07-09T16:48:34.028032 | Message: Ironfur Grizzly
__REPORT__ | @ 2020-07-09T16:48:39.187421 | Message: Clicked On Point: java.awt.Point[x=645,y=71], P1Board
__REPORT__ | @ 2020-07-09T16:48:41.511468 | Message: Clicked On Point: java.awt.Point[x=108,y=117], P2Hero
__ERROR__ | @ 2020-07-09T16:48:42.786740 | Message: Can't Attack with RUSH!!!
__GAME REPORT__ | @ 2020-07-09T16:48:44.666809 | Message: Draw Card -> Sorcerer's Apprentice
__GAME REPORT__ | @ 2020-07-09T16:48:44.667167 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:44.670515 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:48:44.830733 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T16:48:44.831151 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:48:44.832623 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T16:48:45.567375 | Message: Clicked On Point: java.awt.Point[x=462,y=17], P1Hand
__REPORT__ | @ 2020-07-09T16:48:45.567638 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:48:46.439786 | Message: Selected -> models.cards.Minion@585fe303
__REPORT__ | @ 2020-07-09T16:48:46.847279 | Message: Clicked On Point: java.awt.Point[x=317,y=39], P1Board
__CARD PLAYED__ | @ 2020-07-09T16:48:46.847697 | Message: Ironfur Grizzly
__REPORT__ | @ 2020-07-09T16:49:04.599084 | Message: Clicked On Point: java.awt.Point[x=618,y=93], P1Board
__REPORT__ | @ 2020-07-09T16:49:05.063160 | Message: Clicked On Point: java.awt.Point[x=92,y=187], P2Hero
__REPORT__ | @ 2020-07-09T16:49:06.533261 | Message: Clicked On Point: java.awt.Point[x=269,y=85], P1Board
__REPORT__ | @ 2020-07-09T16:49:07.011126 | Message: Clicked On Point: java.awt.Point[x=45,y=201], P2Hero
__ERROR__ | @ 2020-07-09T16:49:08.221507 | Message: Can't Attack with RUSH!!!
__REPORT__ | @ 2020-07-09T16:49:12.170956 | Message: Clicked On Point: java.awt.Point[x=485,y=27], P1Hand
__REPORT__ | @ 2020-07-09T16:49:12.171209 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:49:14.008815 | Message: Selected -> models.cards.Spell@40551423
__GAME REPORT__ | @ 2020-07-09T16:49:14.009540 | Message: Draw Card -> Crazed Chemist
__CARD PLAYED__ | @ 2020-07-09T16:49:14.009883 | Message: Scavenger's Ingenuity
__BUTTON CLICK__ | @ 2020-07-09T16:49:17.842555 | Message: Exit Button
__SIGN IN__ | @ 2020-07-09T16:49:46.571651 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T16:49:47.070944 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T16:49:47.761923 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-07-09T16:49:47.762046 | Message: Play Access Granted
__ROOM CHANGE__ | @ 2020-07-09T16:49:47.865449 | Message: Play
__GAME REPORT__ | @ 2020-07-09T16:49:47.924044 | Message: Game Begins
__GAME REPORT__ | @ 2020-07-09T16:49:51.360705 | Message: Activated Passive -> Mana Jump
__GAME REPORT__ | @ 2020-07-09T16:49:51.362469 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-07-09T16:49:55.521354 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-07-09T16:49:55.521546 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T16:49:55.521721 | Message: Draw Card -> AmaniWarBear
__GAME REPORT__ | @ 2020-07-09T16:49:55.521834 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T16:49:55.521994 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T16:49:55.522130 | Message: Draw Card -> AmaniWarBear
__GAME REPORT__ | @ 2020-07-09T16:49:55.522674 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:50:02.965827 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T16:50:02.966078 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:50:02.970915 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T16:50:04.102291 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T16:50:04.102768 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T16:50:04.108766 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T16:50:04.831138 | Message: Clicked On Point: java.awt.Point[x=378,y=32], P1Hand
__REPORT__ | @ 2020-07-09T16:50:04.831910 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T16:50:05.663460 | Message: Selected -> models.cards.Minion@49993d8d
__REPORT__ | @ 2020-07-09T16:50:06.378993 | Message: Clicked On Point: java.awt.Point[x=759,y=44], P1Board
__CARD PLAYED__ | @ 2020-07-09T16:50:06.379696 | Message: Ironfur Grizzly
__BUTTON CLICK__ | @ 2020-07-09T16:50:10.669546 | Message: Exit Button
__SIGN IN__ | @ 2020-07-09T17:18:59.678886 | Message: No Message
__ROOM CHANGE__ | @ 2020-07-09T17:19:00.140325 | Message: Home
__BUTTON CLICK__ | @ 2020-07-09T17:19:01.487115 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:01.487303 | Message: Play Access Granted
__ROOM CHANGE__ | @ 2020-07-09T17:19:01.566166 | Message: Play
__GAME REPORT__ | @ 2020-07-09T17:19:01.619951 | Message: Game Begins
__GAME REPORT__ | @ 2020-07-09T17:19:02.882350 | Message: Activated Passive -> Free Power
__EFFECTS VISITED__ | @ 2020-07-09T17:19:02.885589 | Message: Effect: logic.GameEffects.HeroPowerModifier@55baf82e
__EFFECTS VISITED__ | @ 2020-07-09T17:19:02.886976 | Message: Effect: logic.GameEffects.AddCost@281cf5, on Models: [models.cards.Spell@643128b4, models.cards.Spell@66c8d794, models.cards.Spell@7446f56d, models.cards.Spell@34c980a4, models.cards.Spell@59507a01, models.cards.Spell@798462c8]
__GAME REPORT__ | @ 2020-07-09T17:19:02.887262 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-07-09T17:19:05.505467 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-07-09T17:19:05.506012 | Message: Draw Card -> Scavenger's Ingenuity
__GAME REPORT__ | @ 2020-07-09T17:19:05.506461 | Message: Draw Card -> Ironfur Grizzly
__GAME REPORT__ | @ 2020-07-09T17:19:05.506852 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T17:19:05.507201 | Message: Draw Card -> RaidLeader
__GAME REPORT__ | @ 2020-07-09T17:19:05.507657 | Message: Draw Card -> Scavenger's Ingenuity
__GAME REPORT__ | @ 2020-07-09T17:19:05.508978 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:19:06.905964 | Message: (Quit-Interrupt)
__BUTTON CLICK__ | @ 2020-07-09T17:19:06.906294 | Message: Back Button
__ROOM CHANGE__ | @ 2020-07-09T17:19:07.006090 | Message: home
__BUTTON CLICK__ | @ 2020-07-09T17:19:08.001934 | Message: button -> Collections
__ROOM CHANGE__ | @ 2020-07-09T17:19:08.265460 | Message: Collections
__BUTTON CLICK__ | @ 2020-07-09T17:19:22.973990 | Message: Select
__BUTTON CLICK__ | @ 2020-07-09T17:19:22.974331 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-07-09T17:19:27.965933 | Message: Remove
__BUTTON CLICK__ | @ 2020-07-09T17:19:29.234174 | Message: Remove
__BUTTON CLICK__ | @ 2020-07-09T17:19:30.642275 | Message: Remove
__BUTTON CLICK__ | @ 2020-07-09T17:19:31.552209 | Message: Add to deck button -> Blast Wave
__ERROR__ | @ 2020-07-09T17:19:32.813114 | Message: Message : Deck models.heroes and card class does not match
__BUTTON CLICK__ | @ 2020-07-09T17:19:33.382074 | Message: Back
__BUTTON CLICK__ | @ 2020-07-09T17:19:35.146345 | Message: Reformat
__REPORT__ | @ 2020-07-09T17:19:37.729758 | Message: Deck Details changed -> Name: New Deck1, Hero: Mage
__BUTTON CLICK__ | @ 2020-07-09T17:19:39.278445 | Message: Select
__BUTTON CLICK__ | @ 2020-07-09T17:19:39.278819 | Message: Select Deck -> Deck Index : 0
__BUTTON CLICK__ | @ 2020-07-09T17:19:40.447644 | Message: Add to deck button -> Polymorph
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:40.447874 | Message: Card Polymorph added to deck New Deck1
__BUTTON CLICK__ | @ 2020-07-09T17:19:40.590502 | Message: Add to deck button -> Polymorph
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:40.590866 | Message: Card Polymorph added to deck New Deck1
__BUTTON CLICK__ | @ 2020-07-09T17:19:41.170373 | Message: Add to deck button -> Blast Wave
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:41.170710 | Message: Card Blast Wave added to deck New Deck1
__BUTTON CLICK__ | @ 2020-07-09T17:19:41.330393 | Message: Add to deck button -> Blast Wave
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:41.330615 | Message: Card Blast Wave added to deck New Deck1
__BUTTON CLICK__ | @ 2020-07-09T17:19:42.018600 | Message: Back
__BUTTON CLICK__ | @ 2020-07-09T17:19:43.014161 | Message: Back Button
__ROOM CHANGE__ | @ 2020-07-09T17:19:43.070417 | Message: home
__BUTTON CLICK__ | @ 2020-07-09T17:19:44.708157 | Message: button -> Local Play
__SUCCESSFUL ACTION__ | @ 2020-07-09T17:19:44.708405 | Message: Play Access Granted
__ROOM CHANGE__ | @ 2020-07-09T17:19:44.773261 | Message: Play
__GAME REPORT__ | @ 2020-07-09T17:19:44.782168 | Message: Game Begins
__GAME REPORT__ | @ 2020-07-09T17:19:45.784153 | Message: Activated Passive -> Nurse
__EFFECTS VISITED__ | @ 2020-07-09T17:19:45.785483 | Message: Effect: logic.GameEffects.RestoreLife@57090dcd, on Models: []
__EFFECTS VISITED__ | @ 2020-07-09T17:19:45.785901 | Message: Effect: logic.GameEffects.AddCost@4d739429, on Models: [models.cards.Spell@74deb323, models.cards.Spell@6bd70d0e, models.cards.Spell@742f02dc, models.cards.Spell@25ac12ac, models.cards.Spell@24eaea91, models.cards.Spell@77863c7f]
__EFFECTS VISITED__ | @ 2020-07-09T17:19:45.786286 | Message: Effect: logic.GameEffects.AddCost@7b33e9b1, on Models: [models.cards.Spell@3ecfbd09, models.cards.Spell@4d826623, models.cards.Spell@ba1de28, models.cards.Spell@6fbbd08c, models.cards.Spell@2cdf1f87, models.cards.Spell@72b2c741]
__GAME REPORT__ | @ 2020-07-09T17:19:45.786573 | Message: Shuffling Cards...
__GAME REPORT__ | @ 2020-07-09T17:19:47.728697 | Message: Giving players starting cards
__GAME REPORT__ | @ 2020-07-09T17:19:47.729150 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T17:19:47.729578 | Message: Draw Card -> Polymorph
__GAME REPORT__ | @ 2020-07-09T17:19:47.729938 | Message: Draw Card -> Sorcerer's Apprentice
__GAME REPORT__ | @ 2020-07-09T17:19:47.730265 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T17:19:47.730621 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T17:19:47.731020 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:19:52.602739 | Message: Draw Card -> Light's Justice
__GAME REPORT__ | @ 2020-07-09T17:19:52.603057 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:19:52.604336 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T17:19:53.802367 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-07-09T17:19:53.802529 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:19:53.803188 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T17:19:54.872383 | Message: Draw Card -> Hir'eek the Bat
__GAME REPORT__ | @ 2020-07-09T17:19:54.872536 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:19:54.874887 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T17:19:59.993650 | Message: Clicked On Point: java.awt.Point[x=441,y=124], P2Hand
__REPORT__ | @ 2020-07-09T17:19:59.993826 | Message: Showing Card Chooser
__REPORT__ | @ 2020-07-09T17:20:01.154021 | Message: Selected -> models.cards.Minion@64d5d74a
__REPORT__ | @ 2020-07-09T17:20:01.155300 | Message: Input: P2Hand, Index: 0
__REPORT__ | @ 2020-07-09T17:20:01.682659 | Message: Clicked On Point: java.awt.Point[x=606,y=161], P2Board
__REPORT__ | @ 2020-07-09T17:20:01.682800 | Message: Input: P2Board, Index: 3
__EFFECTS VISITED__ | @ 2020-07-09T17:20:01.682975 | Message: Effect: logic.GameEffects.AddCost@5fccfc17, on Models: []
__CARD PLAYED__ | @ 2020-07-09T17:20:01.683050 | Message: Sorcerer's Apprentice
__GAME REPORT__ | @ 2020-07-09T17:20:03.307112 | Message: Draw Card -> Pyroblast
__GAME REPORT__ | @ 2020-07-09T17:20:03.307448 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:20:03.316179 | Message: Turn Ended.
__REPORT__ | @ 2020-07-09T17:20:05.841935 | Message: Clicked On Point: java.awt.Point[x=115,y=38], P1HeroPower
__REPORT__ | @ 2020-07-09T17:20:05.842158 | Message: Input: P1HeroPower, Index: -1
__REPORT__ | @ 2020-07-09T17:20:06.350936 | Message: Clicked On Point: java.awt.Point[x=583,y=117], P2Board
__REPORT__ | @ 2020-07-09T17:20:06.351145 | Message: Input: P2Board, Index: 3
__CARD SELECTED__ | @ 2020-07-09T17:20:06.351361 | Message: Model Selected -> Sorcerer's Apprentice
__EFFECTS VISITED__ | @ 2020-07-09T17:20:06.351454 | Message: Effect: logic.GameEffects.ChangeHpAttack@24240700, on Models: [models.cards.Minion@64d5d74a]
__GAME REPORT__ | @ 2020-07-09T17:20:06.979221 | Message: Draw Card -> Fireball
__EFFECTS VISITED__ | @ 2020-07-09T17:20:06.979588 | Message: Effect: logic.GameEffects.AddCost@4c5b774a, on Models: [models.cards.Spell@4d826623]
__GAME REPORT__ | @ 2020-07-09T17:20:06.979832 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:20:06.981214 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T17:20:07.107222 | Message: Draw Card -> Crazed Chemist
__GAME REPORT__ | @ 2020-07-09T17:20:07.107580 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:20:07.115910 | Message: Turn Ended.
__GAME REPORT__ | @ 2020-07-09T17:20:07.523152 | Message: Draw Card -> Polymorph
__EFFECTS VISITED__ | @ 2020-07-09T17:20:07.523459 | Message: Effect: logic.GameEffects.AddCost@4c5b774a, on Models: [models.cards.Spell@ba1de28]
__GAME REPORT__ | @ 2020-07-09T17:20:07.523701 | Message: Turn Begins
__GAME REPORT__ | @ 2020-07-09T17:20:07.525102 | Message: Turn Ended.
